product_id,name,peak_year,times_ordered
21,"Retinol Youth Renewal Serum",2022,3
6,"Rice Water Bright Foaming Cleanser",2022,2
22,"Collagen Boosting Night Cream",2022,2
25,"Bakuchiol Anti-Aging Oil",2022,2
19,"I'm Real Sheet Mask – Red Wine",2023,3
14,"Green Tea Fresh Emulsion",2023,2
27,"Advanced Lifting Face Serum",2023,2
28,"Snail Repair Intensive Ampoule",2023,2
29,"Firming & Lifting Sleeping Pack",2023,2
30,"Age Rewind Peptide Moisturizer",2023,2
24,"Hyaluronic + Retinol Sheet Mask",2023,1
26,"Coenzyme Q10 Anti-Wrinkle Cream",2023,1
32,"Vitamin E + Retinol Facial Oil",2023,1
2,"Vitamin C Glow Serum",2024,8
10,"Bright Complete Vitamin C Serum",2024,6
13,"6 Peptide Complex Serum",2024,5
7,"Hyaluronic Acid Moisturizing Cream",2024,3
11,"Advanced Snail 96 Mucin Power Essence",2024,3
12,"Rice Water Toner",2024,3
3,"Niacinamide 10% + Zinc 1%",2024,2
5,"AHA 30% + BHA 2% Peeling Solution",2024,2
20,"I'm Real Sheet Mask – Avocado",2024,2
1,"Hydrating Facial Cleanser",2024,1
8,"Oil-Free Acne Wash",2024,1
9,"UV Clear Sunscreen SPF 50",2024,1
15,"Low pH Good Morning Gel Cleanser",2024,1
23,"Peptide Firming Eye Serum",2024,1
17,"I'm Real Sheet Mask – Green Tea",2025,6
16,"I'm Real Sheet Mask – Aloe",2025,3
18,"I'm Real Sheet Mask – Rice",2025,3
4,"Gentle Skin Cleanser",2025,2
33,"Retinol Glow Serum",2025,2
31,"Night Peptide Concentrate",2025,1
34,"Peptide Lift Firming Toner",2025,1
35,"Wrinkle Smoothing Eye Cream",2025,1
